iter	Passed	Remaining
213	17114	14875
214	17250	14843
215	17334	14766
216	17417	14688
217	17498	14608
218	17568	14520
219	17650	14441
220	17765	14389
221	17839	14303
222	17897	14205
223	18003	14145
224	18111	14086
225	18140	13966
226	18216	13883
227	18283	13793
228	18362	13711
229	18476	13656
230	18583	13595
231	18665	13516
232	18758	13445
233	18877	13391
234	18982	13327
235	19092	13267
236	19155	13174
237	19227	13087
238	19330	13021
239	19411	12941
240	19510	12872
241	19574	12780
242	19664	12705
243	19737	12619
244	19831	12546
245	19902	12459
246	20010	12394
247	20055	12292
248	20161	12226
249	20270	12162
250	20350	12080
251	20432	11999
252	20538	11933
253	20662	11877
254	20752	11800
255	20825	11714
256	20913	11636
257	21034	11577
258	21140	11508
259	21220	11426
260	21323	11356
261	21418	11281
262	21549	11225
263	21631	11143
264	21700	11054
265	21806	10985
266	21893	10905
267	21988	10830
268	22106	10765
269	22187	10683
270	22269	10600
271	22388	10535
272	22485	10460
273	22564	10376
274	22658	10299
275	22760	10225
276	22832	10138
277	22906	10052
278	22999	9974
279	23076	9890
280	23159	9807
281	23274	9738
282	23339	9649
283	23414	9563
284	23511	9487
285	23653	9428
286	23726	9341
287	23823	9264
288	23935	9193
289	24039	9118
290	24142	9043
291	24214	8956
292	24307	8876
293	24411	8801
294	24519	8727
295	24594	8641
296	24728	8575
297	24822	8496
298	24918	8417
299	25024	8341
300	25096	8254
301	25194	8175
302	25299	8099
303	25413	8025
304	25474	7934
305	25600	7864
306	25681	7779
307	25774	7698
308	25868	7618
309	25945	7532
310	26044	7453
311	26146	7374
312	26217	7287
313	26301	7203
314	26401	7124
315	26487	7041
316	26601	6965
317	26717	6889
318	26799	6804
319	26937	6734
320	27037	6654
321	27152	6577
322	27264	6499
323	27343	6413
324	27419	6327
325	27509	6244
326	27591	6159
327	27688	6077
328	27764	5991
329	27850	5907
330	27946	5825
331	28022	5739
332	28089	5651
333	28194	5571
334	28317	5494
335	28385	5406
336	28467	5321
337	28537	5234
338	28618	5149
339	28688	5062
340	28792	4981
341	28863	4894
342	29014	4821
343	29087	4735
344	29150	4647
345	29223	4560
346	29294	4474
347	29387	4391
348	29473	4307
349	29554	4222
350	29654	4139
351	29720	4052
352	29826	3971
353	29903	3885
354	30014	3804
355	30112	3721
356	30184	3635
357	30278	3552
358	30373	3468
359	30451	3383
360	30523	3297
361	30601	3212
362	30692	3128
363	30786	3044
364	30883	2961
365	30975	2877
366	31074	2794
367	31165	2710
368	31255	2625
369	31351	2541
370	31436	2457
371	31517	2372
372	31607	2287
373	31689	2202
374	31764	2117
375	31838	2032
376	31974	1950
377	32036	1864
378	32121	1779
379	32207	1695
380	32286	1610
381	32373	1525
382	32445	1440
383	32518	1354
384	32593	1269
385	32649	1184
386	32720	1099
387	32829	1015
388	32917	930
389	33015	846
390	33087	761
391	33172	676
392	33282	592
393	33371	508
394	33435	423
395	33510	338
396	33594	253
397	33697	169
398	33819	84
399	33885	0
